thedate,num,name
2020-03-22,156,Hampshire
2020-03-22,139,Southwark
2020-03-22,128,Brent
2020-03-22,127,Lambeth
2020-03-22,117,Westminster
2020-03-22,110,Wandsworth
2020-03-22,103,Harrow
2020-03-22,97,Ealing
2020-03-22,92,Hertfordshire
2020-03-22,91,Birmingham
2020-03-22,88,Barnet
2020-03-22,84,Croydon
2020-03-22,82,Sheffield
2020-03-22,81,Kensington and Chelsea
2020-03-22,79,Cumbria
2020-03-22,75,Derbyshire
2020-03-22,68,Enfield
2020-03-22,68,Surrey
2020-03-22,67,Bromley
2020-03-22,67,Lewisham
2020-03-22,64,Hackney and City of London
2020-03-22,64,Hounslow
2020-03-22,63,Hillingdon
2020-03-22,61,Greenwich
2020-03-22,60,Nottinghamshire
2020-03-22,57,Haringey
2020-03-22,57,Newham
2020-03-22,57,Tower Hamlets
2020-03-22,56,Merton
2020-03-22,54,Islington
2020-03-22,53,Camden
2020-03-22,53,Essex
2020-03-22,52,Wolverhampton
2020-03-22,52,Oxfordshire
2020-03-22,51,Hammersmith and Fulham
2020-03-22,50,Waltham Forest
2020-03-22,48,Kent
2020-03-22,45,Redbridge
2020-03-22,44,Buckinghamshire
2020-03-22,44,Lancashire
2020-03-22,43,Devon
2020-03-22,43,Leicestershire
2020-03-22,41,Staffordshire
2020-03-22,39,Bexley
2020-03-22,35,Barking and Dagenham
2020-03-22,35,Havering
2020-03-22,34,Nottingham
2020-03-22,34,Newcastle upon Tyne
2020-03-22,34,Norfolk
2020-03-22,31,Manchester
2020-03-22,29,Stockport
2020-03-22,29,Walsall
2020-03-22,29,Leeds
2020-03-22,29,Gloucestershire
2020-03-22,29,Warwickshire
2020-03-22,27,West Sussex
2020-03-22,25,Portsmouth
2020-03-22,25,Richmond upon Thames
2020-03-22,24,Dudley
2020-03-22,24,Sutton
2020-03-22,23,Derby
2020-03-22,23,"Bristol, City of"
2020-03-22,23,Wiltshire
2020-03-22,23,Trafford
2020-03-22,23,Oldham
2020-03-22,23,Salford
2020-03-22,23,Kingston upon Thames
2020-03-22,22,Liverpool
2020-03-22,21,Slough
2020-03-22,21,Tameside
2020-03-22,21,Northamptonshire
2020-03-22,20,Cornwall and Isles of Scilly
2020-03-22,20,Sandwell
2020-03-22,20,Cambridgeshire
2020-03-22,20,North Yorkshire
2020-03-22,19,Leicester
2020-03-22,19,Worcestershire
2020-03-22,18,Cheshire East
2020-03-22,18,North Tyneside
2020-03-22,18,Suffolk
2020-03-22,17,South Gloucestershire
2020-03-22,17,Brighton and Hove
2020-03-22,17,Bolton
2020-03-22,16,Torbay
2020-03-22,15,East Riding of Yorkshire
2020-03-22,15,Rochdale
2020-03-22,14,Central Bedfordshire
2020-03-22,14,Bury
2020-03-22,14,Coventry
2020-03-22,14,Lincolnshire
2020-03-22,13,Bath and North East Somerset
2020-03-22,13,Windsor and Maidenhead
2020-03-22,13,Wokingham
2020-03-22,13,Somerset
2020-03-22,12,"Bournemouth, Christchurch and Poole"
2020-03-22,11,Stockton on Tees
2020-03-22,11,Plymouth
2020-03-22,11,Medway
2020-03-22,11,Milton Keynes
2020-03-22,11,Southampton
2020-03-22,11,County Durham
2020-03-22,11,Cheshire West and Chester
2020-03-22,11,Dorset
2020-03-22,11,Sunderland
2020-03-22,11,Bradford
2020-03-22,11,Kirklees
2020-03-22,10,York
2020-03-22,10,Thurrock
2020-03-22,10,Northumberland
2020-03-22,10,Wirral
2020-03-22,10,Barnsley
2020-03-22,10,Wakefield
2020-03-22,9,Wigan
2020-03-22,9,Rotherham
2020-03-22,9,East Sussex
2020-03-22,8,Luton
2020-03-22,8,Southend on Sea
2020-03-22,8,West Berkshire
2020-03-22,8,Reading
2020-03-22,8,Sefton
2020-03-22,7,Halton
2020-03-22,7,"Herefordshire, County of"
2020-03-22,7,Doncaster
2020-03-22,6,Blackpool
2020-03-22,6,Swindon
2020-03-22,5,North Somerset
2020-03-22,5,South Tyneside
2020-03-22,5,Calderdale
2020-03-22,4,Warrington
2020-03-22,4,Bedford
2020-03-22,4,Knowsley
2020-03-22,4,Solihull
2020-03-22,3,Redcar and Cleveland
2020-03-22,3,Darlington
2020-03-22,3,Bracknell Forest
2020-03-22,3,Shropshire
2020-03-22,3,St Helens
2020-03-22,3,Gateshead
2020-03-22,2,Hartlepool
2020-03-22,2,North Lincolnshire
2020-03-22,2,Stoke on Trent
2020-03-22,2,Peterborough
2020-03-22,2,Isle of Wight
2020-03-22,1,Middlesbrough
2020-03-22,1,Blackburn with Darwen
2020-03-22,1,"Kingston upon Hull, City of"
2020-03-22,1,North East Lincolnshire
2020-03-22,1,Telford and Wrekin
